idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,hilosX,hilosY,filtro,estado,error
20,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_20_raw.bin,salidas/cudaBin/Bercak Daun/imagen_20_cuda.bin,512,512,0.039136,0.00232998,16,16,enfoque,ok,
21,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_21_raw.bin,salidas/cudaBin/Bercak Daun/imagen_21_cuda.bin,512,512,0.038848,0.00243115,16,16,enfoque,ok,
22,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_22_raw.bin,salidas/cudaBin/Bercak Daun/imagen_22_cuda.bin,512,512,0.040352,0.0023464,16,16,enfoque,ok,
23,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_23_raw.bin,salidas/cudaBin/Bercak Daun/imagen_23_cuda.bin,512,512,0.039168,0.00239442,16,16,enfoque,ok,
24,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_24_raw.bin,salidas/cudaBin/Bercak Daun/imagen_24_cuda.bin,512,512,0.040544,0.0022943,16,16,enfoque,ok,
25,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_25_raw.bin,salidas/cudaBin/Bercak Daun/imagen_25_cuda.bin,512,512,0.03888,0.00235229,16,16,enfoque,ok,
26,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_26_raw.bin,salidas/cudaBin/Bercak Daun/imagen_26_cuda.bin,512,512,0.032736,0.00229093,16,16,enfoque,ok,
27,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_27_raw.bin,salidas/cudaBin/Bercak Daun/imagen_27_cuda.bin,512,512,0.039296,0.00221145,16,16,enfoque,ok,
28,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_28_raw.bin,salidas/cudaBin/Bercak Daun/imagen_28_cuda.bin,512,512,0.044832,0.00230485,16,16,enfoque,ok,
29,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_29_raw.bin,salidas/cudaBin/Bercak Daun/imagen_29_cuda.bin,512,512,0.037184,0.00220934,16,16,enfoque,ok,
30,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_30_raw.bin,salidas/cudaBin/Bercak Daun/imagen_30_cuda.bin,512,512,0.038944,0.00223087,16,16,enfoque,ok,
31,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_31_raw.bin,salidas/cudaBin/Bercak Daun/imagen_31_cuda.bin,512,512,0.037376,0.00218873,16,16,enfoque,ok,
32,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_32_raw.bin,salidas/cudaBin/Bercak Daun/imagen_32_cuda.bin,512,512,0.055584,0.00220854,16,16,enfoque,ok,
33,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_33_raw.bin,salidas/cudaBin/Bercak Daun/imagen_33_cuda.bin,512,512,0.037888,0.00221593,16,16,enfoque,ok,
34,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_34_raw.bin,salidas/cudaBin/Bercak Daun/imagen_34_cuda.bin,512,512,0.037952,0.00221327,16,16,enfoque,ok,
35,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_35_raw.bin,salidas/cudaBin/Bercak Daun/imagen_35_cuda.bin,512,512,0.037664,0.00215488,16,16,enfoque,ok,
36,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_36_raw.bin,salidas/cudaBin/Bercak Daun/imagen_36_cuda.bin,512,512,0.038816,0.00221676,16,16,enfoque,ok,
37,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_37_raw.bin,salidas/cudaBin/Bercak Daun/imagen_37_cuda.bin,512,512,0.03856,0.00216255,16,16,enfoque,ok,
38,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_38_raw.bin,salidas/cudaBin/Bercak Daun/imagen_38_cuda.bin,512,512,0.038816,0.00230695,16,16,enfoque,ok,
39,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_39_raw.bin,salidas/cudaBin/Bercak Daun/imagen_39_cuda.bin,512,512,0.037504,0.00220614,16,16,enfoque,ok,
40,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_40_raw.bin,salidas/cudaBin/Bercak Daun/imagen_40_cuda.bin,512,512,0.038912,0.00287364,16,16,enfoque,ok,
41,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_41_raw.bin,salidas/cudaBin/Bercak Daun/imagen_41_cuda.bin,512,512,0.03888,0.00239849,16,16,enfoque,ok,
42,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_42_raw.bin,salidas/cudaBin/Bercak Daun/imagen_42_cuda.bin,512,512,0.03264,0.00233494,16,16,enfoque,ok,
43,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_43_raw.bin,salidas/cudaBin/Bercak Daun/imagen_43_cuda.bin,512,512,0.038048,0.00233405,16,16,enfoque,ok,
44,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_44_raw.bin,salidas/cudaBin/Bercak Daun/imagen_44_cuda.bin,512,512,0.038944,0.00260484,16,16,enfoque,ok,
45,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_45_raw.bin,salidas/cudaBin/Bercak Daun/imagen_45_cuda.bin,512,512,0.040288,0.0031376,16,16,enfoque,ok,
46,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_46_raw.bin,salidas/cudaBin/Bercak Daun/imagen_46_cuda.bin,512,512,0.037344,0.00244174,16,16,enfoque,ok,
47,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_47_raw.bin,salidas/cudaBin/Bercak Daun/imagen_47_cuda.bin,512,512,0.038816,0.00222716,16,16,enfoque,ok,
48,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_48_raw.bin,salidas/cudaBin/Bercak Daun/imagen_48_cuda.bin,512,512,0.040032,0.0022843,16,16,enfoque,ok,
49,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_49_raw.bin,salidas/cudaBin/Bercak Daun/imagen_49_cuda.bin,512,512,0.039904,0.00231485,16,16,enfoque,ok,
50,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_50_raw.bin,salidas/cudaBin/Bercak Daun/imagen_50_cuda.bin,512,512,0.040992,0.00234084,16,16,enfoque,ok,
51,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_51_raw.bin,salidas/cudaBin/Bercak Daun/imagen_51_cuda.bin,512,512,0.040864,0.00225538,16,16,enfoque,ok,
52,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_52_raw.bin,salidas/cudaBin/Bercak Daun/imagen_52_cuda.bin,512,512,0.04064,0.00220878,16,16,enfoque,ok,
